number;name;address;position;banking;bonus;status;Contract Name;Bike Stands;Available Bike Stands;Available Bikes;Last Update
171;171 - PISCINE LOUIS NAMECHE/ZWEMBAD LOUIS NAMECHE;Rue Charles Malis / Charles Malisstraat 71 (parking piscine / parking zwembad);50.854789, 4.312201;False;False;OPEN;Bruxelles-Capitale;25;12;13;2026-03-07T12:58:15+01:00
208;208 - MELBA;MELBA - AV NELLIE MELBA (FACE 1 a 9) / NELLIE MELBALAAN (TEGENOVER 1 tot 9);50.832565, 4.294311;False;False;OPEN;Bruxelles-Capitale;25;15;9;2026-03-07T12:59:17+01:00
250;250_AVDA_TRES_CRUCES_PIO_XI;Tres Cruces - Pio XI;39.45632, -0.4008977;False;False;OPEN;valence;15;5;10;2026-03-07T12:59:06+01:00
201;201_AVDA_PEREZ_GALDOS;Perez Galdós - Nou Moles;39.471680093785, -0.393759152416117;False;False;OPEN;valence;20;19;1;2026-03-07T12:58:49+01:00
342;342 - MAISON COMM. BERCHEM / GEMEENTEH. BERCHEM;Av. du Roi Albert 38 / Koning Albertlaan 38;50.864771, 4.294266;False;False;OPEN;Bruxelles-Capitale;20;15;5;2026-03-07T12:57:44+01:00
262;262 - PLACE DE LA PAIX / VREDEPLEIN;PLACE DE LA PAIX / VREDEPLEIN 24;50.87693, 4.400722;False;False;OPEN;Bruxelles-Capitale;20;10;10;2026-03-07T12:57:52+01:00
249;249 - SAINT-JOB / SINT-JOB;Pl. de Saint-Job (à côté de l'église) / Sint-Jobsplein (naast de kerk);50.794173, 4.366414;False;False;OPEN;Bruxelles-Capitale;25;9;14;2026-03-07T12:58:08+01:00
52;52_C/ LUIS GARCIA BERLANGA;Luis García Berlanga Martí - Menorca;39.4560020562084, -0.346431002074561;False;False;OPEN;valence;25;3;22;2026-03-07T12:59:32+01:00
354;354 - TRIOMPHE / TRIOMF;Bd du Triomphe 105 / Triomflaan 105;50.821515, 4.402259;False;True;OPEN;Bruxelles-Capitale;20;18;2;2026-03-07T12:58:46+01:00
159;159 - MASUI;Av. de la Reine 157 / Koninginnelaan 157;50.869297, 4.36257;False;False;OPEN;Bruxelles-Capitale;25;7;18;2026-03-07T12:58:04+01:00
20;STARA CERKEV;Celovška cesta 69;46.06342, 14.494588;False;False;OPEN;ljubljana;14;14;0;2026-03-07T12:59:21+01:00
108;108_ LUIS PEIXO;Luís Peixó 20;39.473794, -0.334006;False;False;OPEN;valence;15;6;9;2026-03-07T12:59:24+01:00
64;064 - VETERINAIRES / VEEARTSEN;VETERINAIRES/VEEARTSEN - RUE DE FRANCE / FRANKRIJKSTRAAT;50.832749, 4.331058;False;False;OPEN;Bruxelles-Capitale;25;22;1;2026-03-07T12:59:40+01:00
342;00342 - GLOIRE - CHIRAC;Face 2 bis, chemin de Pelleport;43.606975, 1.473375;False;False;OPEN;toulouse;13;11;2;2026-03-07T12:59:30+01:00
88;088_CALLE AMERICO VESPUCIO;CALLE AMERICO VESPUCIO - Aprox. C/ Hermanos d'Eluyar;37.409371, -6.006919;False;False;OPEN;seville;20;20;0;2026-03-07T12:58:30+01:00
382;00382 - LIFFARD - SAINT-SIMON;Face 66, chemin de Liffard;43.564413, 1.375571;False;False;OPEN;toulouse;13;10;3;2026-03-07T12:59:30+01:00
27;DUNAJSKA C.-PS PETROL;Dunajska cesta 50;46.065136, 14.509112;False;False;OPEN;ljubljana;20;17;3;2026-03-07T12:59:25+01:00
217;217 - BIZET;Pl. Bizet 15 / Bizetplein 15;50.82496, 4.297422;False;False;OPEN;Bruxelles-Capitale;23;13;10;2026-03-07T12:58:28+01:00
61;061_VICENTE VIDAL;Vicent Vidal - Pintor Maella;39.4612610734563, -0.347921009381426;False;False;OPEN;valence;20;2;18;2026-03-07T12:59:30+01:00
10;RIDHUSET;;55.7167933353397, 13.2074149131058;False;False;OPEN;lund;23;8;13;2026-03-07T12:59:15+01:00
74;POVŠETOVA - KAJUHOVA;Povšetova - Kajuhova;46.051512, 14.539272;False;False;OPEN;ljubljana;20;4;16;2026-03-07T12:57:51+01:00
28;028 - CLEMENCEAU;Chaussée de Mons / Bergensesteenweg 163;50.842005, 4.3305;False;False;OPEN;Bruxelles-Capitale;27;16;9;2026-03-07T12:58:12+01:00
312;312 - CENTRE CULTUREL / CULTUREEL CENTRUM;Bd du Souverain 182 / Vorstlaan 182;50.817087, 4.426761;False;False;OPEN;Bruxelles-Capitale;25;10;14;2026-03-07T12:58:29+01:00
51;051_AVENIDA TORNEO;AVENIDA TORNEO - Aprox. C/ Luis Rey Romero;37.3955195005648, -6.0023212484675;False;False;OPEN;seville;20;12;7;2026-03-07T12:59:26+01:00
26;MERRION SQUARE WEST;Merrion Square West;53.3400705, -6.2517163;False;False;OPEN;dublin;20;0;20;2026-03-07T12:58:45+01:00
8033;8033 - BERTHELOT / CAZENEUVE;;45.737481, 4.865503;False;False;OPEN;lyon;20;18;2;2026-03-07T12:58:55+01:00
186;00186 - DESBALS - BOUALAM;1 IMPASSE BACHAGA BOUALAM;43.579171, 1.410939;False;False;OPEN;toulouse;18;17;1;2026-03-07T12:58:24+01:00
296;296 - BOITSFORT GARE / BOSVOORDE STATION;Chau. de la Hulpe 191 / Terhulpsesteenweg 191;50.795209, 4.408152;False;False;OPEN;Bruxelles-Capitale;25;19;5;2026-03-07T12:58:29+01:00
253;00253 - ÉTATS-UNIS - CHARLAS;FACE 74 AV DES ETATS-UNIS (GARAGE RENAULT TOULOUSE);43.630519, 1.43234;False;False;OPEN;toulouse;20;17;3;2026-03-07T12:58:15+01:00
131;131 - JARDIN MASSART / MASSARTTUIN;Av Herrmann-Debroux x Chau. de Wavre / Herrmann Debrouxlaan x Waversesteenweg;50.81329, 4.434751;False;False;OPEN;Bruxelles-Capitale;25;10;14;2026-03-07T12:58:30+01:00
180;00180 - PLACE DE SOUPETARD;3 PLACE DE SOUPETARD;43.612162, 1.477347;False;False;OPEN;toulouse;18;14;4;2026-03-07T12:59:34+01:00
53;053 - GARE DU MIDI / ZUIDSTATION;Rue Ernest Blerot / Ernest Blerotstraat 1;50.837499, 4.335947;False;False;OPEN;Bruxelles-Capitale;40;15;25;2026-03-07T12:57:56+01:00
338;338 - UCL;UCL - AVENUE E.MOUNIER,40;50.851073, 4.452706;False;False;OPEN;Bruxelles-Capitale;24;7;16;2026-03-07T12:58:17+01:00
12005;12005 - VAULX - VILLAGE;;45.786262, 4.926788;False;False;OPEN;lyon;20;11;9;2026-03-07T12:59:10+01:00
277;00277 - ZAMENHOF;10/12 RUE ZAMENHOF;43.585431, 1.377279;False;False;OPEN;toulouse;18;14;4;2026-03-07T12:57:36+01:00
94;094 - DUCHESSE DE BRABANT / HERTOGIN VAN BRABANT;DUCHESSE DE BRABANT / HERTOGIN VAN BRABANT - Rue de Birmingham / Birminghamstraat;50.849215, 4.329184;False;False;OPEN;Bruxelles-Capitale;20;5;14;2026-03-07T12:59:05+01:00
226;226 - UNION / UNIE;Bd de la Deuxième Armée Britannique 2 / Brits Tweedelegerlaan 2;50.819892, 4.325187;False;False;OPEN;Bruxelles-Capitale;25;14;11;2026-03-07T12:58:38+01:00
96;KILMAINHAM LANE;Kilmainham Lane;53.341805, -6.305085;False;False;OPEN;dublin;30;17;13;2026-03-07T12:59:21+01:00
3053;3053 - GAMBETTA / JUSSERAND;Angle cours Gambetta;45.751123, 4.855604;True;False;OPEN;lyon;13;10;3;2026-03-07T12:57:55+01:00
299;LABMAD;Borna pruebas laboratorio madrid;40.448779, -3.584983;False;False;OPEN;valence;3;1;2;2026-03-07T12:58:42+01:00
254;254 - BASILIQUE / BASILIEK;Av. Gloires Nationales x Av. Jacques Sermon / Nationale Glorielaan x Jacques Sermonlaan;50.867393, 4.320344;False;False;OPEN;Bruxelles-Capitale;22;12;8;2026-03-07T12:59:05+01:00
10;丸の内 MARUNOUCHI;丸の内３丁目１番 3-1 Marunouchi;36.692294, 137.209547;False;False;OPEN;toyama;16;9;7;2026-03-07T12:59:27+01:00
111;111_PZA FARMACÉUTICO MURILLO HERRERA;PZA FARMACÉUTICO MURILLO HERRERA - Aprox. C/ Pajes de Corro;37.3813174443225, -6.00105323584217;False;False;OPEN;seville;20;13;7;2026-03-07T12:59:24+01:00
